Unnamed: 0,Best,Worst,Neutral,Net Score,Win Rate (%),Loss Rate (%),Neutral Rate (%),Total,Net Preference Score,Preference Share,Rejection Rate,Preference Ratio,Relative Score
Hierarchical,43,1,16,42,71.67,1.67,13.33,60,0.7,0.7166666666666667,0.016666666666666666,42.999957000043004,0.9545454545454546
NLI,9,12,39,-3,15.0,20.0,32.5,60,-0.05,0.15,0.2,0.7499999375000053,-0.14285714285714285
Original,5,19,36,-14,8.33,31.67,30.0,60,-0.23333333333333334,0.08333333333333333,0.31666666666666665,0.26315788088642733,-0.5833333333333334
Fact,3,28,29,-25,5.0,46.67,24.17,60,-0.4166666666666667,0.05,0.4666666666666667,0.10714285331632667,-0.8064516129032258
